id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
130;Italy;Unwrought alloys;2164.0;2841.0;1171.0;1314.0;2626.0;9793.0;6651.0;6835.0;4399.0;4262.0;2566.0;i;nickel
131;Latvia;Ores&concentrates;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
132;Latvia;Unwrought;3.0;1.0;nan;0.0;585.0;102.0;nan;nan;nan;nan;nan;i;nickel
133;Netherlands;Mattes;nan;nan;nan;nan;nan;nan;923.0;590.0;1160.0;1056.0;490.0;i;nickel
134;Netherlands;Ores&concentrates;11.0;220.0;5940.0;9544.0;nan;nan;800.0;10.0;400.0;1800.0;3600.0;i;nickel
135;Netherlands;Oxides;30.0;70.0;50.0;70.0;150.0;253.0;130.0;80.0;142.0;200.0;220.0;i;nickel
136;Netherlands;Scrap;12647.0;4666.0;10852.0;4607.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
137;Netherlands;Unwrought;nan;nan;nan;50510.0;32005.0;41856.0;45272.0;32428.0;33333.0;12152.0;49876.0;i;nickel
138;Netherlands;Unwrought alloys;1227.0;227.0;638.0;3548.0;982.0;1126.0;1386.0;770.0;531.0;210.0;53.0;i;nickel
139;North Macedonia;Ores&concentrates;789929.0;985925.0;1210300.0;1393490.0;1518156.0;1259734.0;1391103.0;1358295.0;729732.0;534403.0;935799.0;i;nickel
140;Norway;Mattes;178502.0;153437.0;170365.0;199173.0;190275.0;178840.0;162202.0;158354.0;162122.0;137437.0;162586.0;i;nickel
141;Norway;Unwrought;201.0;199.0;235.0;246.0;250.0;175.0;131.0;171.0;203.0;188.0;174.0;i;nickel
142;Poland;Mattes;nan;1468.0;1223.0;7.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
143;Poland;Ores&concentrates;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
144;Poland;Oxide;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
145;Poland;Oxides;44.0;34.0;38.0;28.0;263.0;29.0;nan;nan;nan;nan;nan;i;nickel
146;Poland;Scrap;3683.0;2122.0;341.0;603.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
147;Poland;Unwrought;3398.0;1353.0;3350.0;2722.0;3189.0;3208.0;2261.0;3104.0;3310.0;3746.0;4014.0;i;nickel
148;Poland;Unwrought alloys;nan;nan;nan;nan;nan;nan;257.0;231.0;254.0;204.0;214.0;i;nickel
149;Portugal;Oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
150;Portugal;Unwrought;524.0;316.0;312.0;221.0;322.0;516.0;434.0;520.0;472.0;472.0;491.0;i;nickel
151;Romania;Scrap;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
152;Romania;Unwrought;338.0;288.0;456.0;224.0;190.0;216.0;193.0;424.0;321.0;315.0;225.0;i;nickel
153;Serbia;Unwrought;174.0;116.0;nan;nan;118.0;147.0;64.0;183.0;130.0;213.0;395.0;i;nickel
154;Slovakia;Scrap;11.0;0.0;52.0;312.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
155;Slovakia;Unwrought;190.0;120.0;112.0;617.0;103.0;2659.0;1855.0;258.0;157.0;155.0;94.0;i;nickel
156;Slovenia;Mattes;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
157;Slovenia;Unwrought;2686.0;2020.0;2967.0;3230.0;4304.0;4469.0;1032.0;2343.0;2863.0;3361.0;4146.0;i;nickel
