id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
58;Austria;Metals;561.0;269.0;550.0;325.0;442.0;595.0;429.0;492.0;643.0;672.0;30.0;i;ree
59;Austria;Other rare earth compounds;3589.0;2471.0;3375.0;1646.0;802.0;1630.0;1973.0;2170.0;2141.0;1510.0;100.0;i;ree
60;Belgium;Cerium compounds;258.0;419.0;323.0;289.0;146.0;204.0;401.0;129.0;206.0;142.0;244.0;i;ree
61;Belgium;Ferro-cerium&other pyrophoric alloys;3.0;62.0;2.0;0.0;nan;nan;nan;nan;nan;nan;nan;i;ree
62;Belgium;Metals;259.0;323.0;411.0;205.0;136.0;205.0;6.0;8.0;16.0;17.0;69.0;i;ree
63;Belgium;Other rare earth compounds;142.0;292.0;172.0;58.0;41.0;52.0;19.0;131.0;196.0;76.0;11.0;i;ree
64;Bulgaria;Metals;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;ree
65;Croatia;Ferro-cerium&other pyrophoric alloys;nan;87.0;106.0;133.0;nan;nan;nan;nan;nan;nan;nan;i;ree
66;Cyprus;Cerium compounds;0.0;0.0;24.0;0.0;16.0;nan;nan;nan;nan;nan;nan;i;ree
67;Cyprus;Ferro-cerium&other pyrophoric alloys;0.0;nan;18.0;nan;nan;nan;nan;nan;nan;nan;nan;i;ree
68;Czech Republic;Cerium compounds;nan;nan;nan;nan;nan;nan;67.0;65.0;39.0;73.0;54.0;i;ree
69;Czech Republic;Ferro-cerium&other pyrophoric alloys;5.0;5.0;6.0;2.0;nan;nan;nan;nan;nan;nan;nan;i;ree
70;Czech Republic;Metals;0.0;0.0;13.0;35.0;nan;nan;1.0;1.0;2.0;11.0;1.0;i;ree
71;Czech Republic;Other rare earth compounds;nan;nan;nan;nan;nan;nan;207.0;193.0;454.0;190.0;162.0;i;ree
72;Czech Republic;Rare earth compounds;155.0;124.0;131.0;117.0;344.0;190.0;nan;nan;nan;nan;nan;i;ree
73;Denmark;Cerium compounds;11.0;734.0;15.0;16.0;19.0;16.0;8.0;12.0;2.0;1.0;0.0;i;ree
74;Denmark;Metals;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;ree
75;Denmark;Other rare earth compounds;10.0;36.0;19.0;6.0;3.0;20.0;20.0;11.0;20.0;0.0;47.0;i;ree
